NroCheque,CodigoBanco,CodigoScurusal,NumeroCuentaOrigen,NumeroCuentaDestino,Valor,FechaOrigen,FechaPago,DNI,Estado
TDTUGB3JCQV,80,260,SDQU89664440644888,CGUZ79378252780818,715.74,1653356424.208539,1658713224.20854,214-05-5164,aceptado
ZXXMGBBC5FW,80,260,KAYC16959756851250,FXEA59306046092516,784.43,1652665224.208562,1658108424.208566,214-05-5164,rechazado
JVEOGBP6WKZ,80,260,KAYC16959756851250,BOLT94497620743615,813.89,1651628424.208605,1658281224.208606,214-05-5164,pendiente
KIZPGBZAT7S,80,260,KAYC16959756851250,DDAL02690578771086,91.27,1653010824.208628,1657935624.208629,214-05-5164,aceptado
RPBYGB89QC3,80,260,KAYC16959756851250,ZZIA81155170284006,511.9,1653615624.208651,1658281224.208653,214-05-5164,pendiente
MXDMGBW5DBR,80,260,KAYC16959756851250,KFRW22223950760334,21.83,1652233224.208675,1657330824.208676,214-05-5164,pendiente
XBIVGBSN77V,80,260,KAYC16959756851250,KFHL32675926902906,838.42,1653529224.208702,1657849224.208703,214-05-5164,aceptado
MIGDGBVP8WK,80,260,KAYC16959756851250,WZFE00580001992260,134.78,1651714824.208725,1657330824.208726,214-05-5164,pendiente
EKXAGBDJWXS,80,260,KAYC16959756851250,NNSV53258386126951,464.95,1652406024.208748,1658713224.208749,214-05-5164,rechazado
UJKPGBZ1KAJ,80,260,KAYC16959756851250,NNHP63637691448580,846.33,1651023624.20877,1658194824.208772,214-05-5164,aceptado
SBOEGBVA4QM,80,260,KAYC16959756851250,TTYP34095618026066,404.78,1651196424.208793,1657417224.208795,214-05-5164,rechazado
CRNIGBL7KEK,80,260,KAYC16959756851250,NDWO97225762948155,116.48,1653442824.208816,1657590024.208818,214-05-5164,rechazado
YPUQGBDMQLU,76,164,BMRW97178551033744,HAPL85114963562343,880.65,1652492424.209125,1657849224.209128,147-81-5860,pendiente
JMUBGBS91C0,76,164,BMRW97178551033744,XYPV54692165873556,368.08,1652665224.20915,1658108424.209151,147-81-5860,rechazado
IMXGGBWIIHW,76,164,BMRW97178551033744,ILMY41741725325731,989.5,1651282824.209173,1658454024.209174,147-81-5860,rechazado
FANSGBZ3EE1,76,164,BMRW97178551033744,VMMO87993684735801,551.75,1650505224.209196,1658022024.209197,147-81-5860,aceptado
RXREGBKJNKO,76,164,BMRW97178551033744,PKMH60906143521250,485.7,1653529224.20922,1658454024.209221,147-81-5860,rechazado
AQEPGBWSVH0,76,164,HBAM80219931730896,CRFH36670636094095,810.74,1650418824.209252,1657762824.209253,147-81-5860,rechazado
YIFKGB6V8JY,76,164,HBAM80219931730896,WLKV72981411402926,371.92,1650159624.209292,1657849224.209294,147-81-5860,aceptado
XXRJGBPYWY4,76,164,HBAM80219931730896,GSVK36881817187727,892.67,1653356424.209387,1658194824.209389,147-81-5860,pendiente
QJNNGBGJJA7,76,164,HBAM80219931730896,RKEN46198537357607,789.73,1650937224.209414,1657676424.209416,147-81-5860,pendiente
DWYUGBN6HRK,76,164,HBAM80219931730896,XARM73634772374579,926.73,1652578824.209439,1657071624.209441,147-81-5860,pendiente
MCZBGBAHX4U,76,164,HBAM80219931730896,EQVC34810250592763,503.19,1650332424.209462,1658626824.209464,147-81-5860,pendiente
DVOLGBQ5OK9,76,164,HBAM80219931730896,NPGF60583528899629,852.61,1652233224.209485,1657330824.209487,147-81-5860,pendiente
RCYQGBKBK70,76,164,HBAM80219931730896,PVSG97037958300023,244.66,1653097224.209508,1658626824.20951,147-81-5860,aceptado
TVGOGBZQBIY,76,164,HBAM80219931730896,OVTH18645732585767,495.32,1653442824.209532,1657762824.209533,147-81-5860,rechazado
FOSBGBYFZVO,76,164,HBAM80219931730896,VKOC23126783500631,937.17,1651455624.209555,1657590024.209556,147-81-5860,pendiente
QOBPGBGR659,76,164,HBAM80219931730896,NSSZ68302874688119,112.13,1653010824.209577,1658367624.209579,147-81-5860,aceptado
UMPIGBLO8XK,76,164,HBAM80219931730896,XPYA36954103909852,50.61,1652924424.2096,1657849224.209601,147-81-5860,pendiente
JTEOGBEE4Z0,76,164,HBAM80219931730896,OIDS74366853941025,346.38,1653442824.209622,1658108424.209624,147-81-5860,pendiente
RCIPGBOHSJX,76,164,HBAM80219931730896,USSP18765601692201,532.83,1652751624.209645,1658022024.209646,147-81-5860,pendiente
ZDEVGBDI9MA,76,164,HBAM80219931730896,WNHB44615459388058,791.8,1651542024.209667,1658540424.209668,147-81-5860,rechazado
PAUIGBVIWG9,30,14,ZGBN26863688712180,CAXH67465641293300,498.88,1651542024.209958,1657762824.209959,566-02-2645,rechazado
NZYCGBQG7EI,30,14,ZGBN26863688712180,QZCW73729840925554,348.26,1652060424.209981,1657849224.209983,566-02-2645,aceptado
PBQZGBOWG9N,30,14,ZGBN26863688712180,QUWI20739657472745,718.82,1651282824.210004,1657503624.210006,566-02-2645,rechazado
FWVHGBZM2WK,30,14,ZGBN26863688712180,LUTM69684933634828,496.91,1653270024.210027,1658454024.210028,566-02-2645,pendiente
IXLRGBMN3UI,30,14,ZGBN26863688712180,EZTQ88754647803471,561.36,1653097224.210049,1657158024.210051,566-02-2645,rechazado
IRVYGBAFUTU,30,14,ZGBN26863688712180,AGTD40329259400092,220.67,1651542024.210072,1657503624.210074,566-02-2645,rechazado
BCTAGBSHKRM,30,14,ZGBN26863688712180,JHMP55196102098453,190.09,1650332424.210095,1658367624.210096,566-02-2645,aceptado
QRLOGBF0680,30,14,ZGBN26863688712180,MGKF27299869300690,691.18,1650678024.210117,1657244424.210119,566-02-2645,pendiente
DCSOGBULSP1,30,14,ZGBN26863688712180,UUUE81645930525477,446.75,1651282824.21014,1658194824.210143,566-02-2645,pendiente
VWJBGBBAREU,30,14,ZGBN26863688712180,TKIU17218486976296,917.99,1650764424.210164,1657849224.210166,566-02-2645,pendiente
KRUJGBDP7IQ,30,14,ZGBN26863688712180,YEVV19127416441588,484.97,1653615624.210187,1658626824.210188,566-02-2645,aceptado
TBZMGB0ROQU,30,14,ZGBN26863688712180,ZCAB90216670521693,675.43,1652060424.21021,1658713224.210211,566-02-2645,pendiente
ZRPOGBH1XK7,30,14,ZGBN26863688712180,BGNA09628466807828,68.72,1652319624.210232,1658540424.210234,566-02-2645,pendiente
BHWZGB4YBPF,30,14,ZGBN26863688712180,EUGS21974443600810,322.05,1651110024.210255,1658108424.210256,566-02-2645,aceptado
JDFEGB2AX70,30,14,ZGBN26863688712180,UJEY28215052591153,217.37,1653010824.210277,1657503624.210279,566-02-2645,aceptado
DQHPGBSRZ14,30,14,ZGBN26863688712180,IOKV77881157668786,944.49,1651023624.2103,1657330824.210301,566-02-2645,pendiente
WBFWGB7WMPJ,30,14,ZGBN26863688712180,QCHE68521220691184,850.52,1653615624.210322,1657676424.210323,566-02-2645,aceptado
HZJZGBJL9Q8,30,14,ZGBN26863688712180,SJLV76959785380655,341.58,1650591624.210344,1657849224.210346,566-02-2645,pendiente
AFHXGB0KP9I,30,14,ZGBN26863688712180,ZQAH91715693808810,681.94,1652406024.210367,1657849224.210369,566-02-2645,pendiente
SVFXGBP7TB3,30,14,ZGBN26863688712180,SLBL25477603752078,161.72,1650591624.210389,1657676424.210391,566-02-2645,pendiente
WJVSGB4NB3L,55,190,LRSJ34861261918272,NIXR32147568056682,910.73,1652838024.210673,1657330824.210674,675-22-6313,aceptado
TOKSGBU1J61,55,190,LRSJ34861261918272,YWWR92049789637361,768.05,1650246024.210696,1657849224.210697,675-22-6313,pendiente
MHLMGBSPNQP,55,190,LRSJ34861261918272,DRMD87203331966183,711.21,1652233224.210718,1658626824.21072,675-22-6313,pendiente
RSLOGBPVJUP,55,190,LRSJ34861261918272,QGGP13182938989696,45.06,1651282824.21074,1657849224.210742,675-22-6313,aceptado
EYIRGBL8H24,55,190,UIVZ79055303738302,HOPC94465419175991,415.55,1652578824.210763,1657244424.210764,675-22-6313,aceptado
GWFTGBWPF85,55,190,UIVZ79055303738302,HENH07428521855153,275.23,1651887624.210802,1657676424.210804,675-22-6313,aceptado
GJMIGB6MW0U,55,190,UIVZ79055303738302,GJQW66602714283975,6.91,1652751624.210825,1658108424.210826,675-22-6313,rechazado
XABGGBMK93F,55,190,UIVZ79055303738302,ESES64312278620479,189.62,1653097224.210847,1658713224.210849,675-22-6313,aceptado
IQJWGB50UYD,55,190,UIVZ79055303738302,CVLU11738009174948,290.8,1652578824.210869,1658281224.210871,675-22-6313,pendiente
DBKFGBR92T9,55,190,UIVZ79055303738302,ZMFH19827303292299,150.96,1650764424.210891,1658367624.210893,675-22-6313,aceptado
NPLHGBFFF6B,55,190,UIVZ79055303738302,FCDI14979496012705,394.1,1652492424.210915,1657935624.210916,675-22-6313,rechazado
VSQKGBGPBCG,55,190,UIVZ79055303738302,KIUN60433192383750,78.8,1650678024.210937,1658626824.210939,675-22-6313,pendiente
XJCSGBZI7MR,55,190,UIVZ79055303738302,YINS88259863417434,636.12,1652406024.21096,1657590024.210961,675-22-6313,aceptado
JFFSGBOIIOQ,55,190,UIVZ79055303738302,YJCL27067048967998,528.98,1652060424.210984,1657762824.210986,675-22-6313,rechazado
PZJEGBRNFI0,55,190,UIVZ79055303738302,GFAI16437748629742,43.13,1652492424.211007,1658022024.211009,675-22-6313,aceptado
FGSAGBW84IR,55,190,UIVZ79055303738302,WAGK41064593562135,833.42,1651110024.211029,1658799624.211031,675-22-6313,pendiente
CXWTGBROAJN,55,190,UIVZ79055303738302,YXPO25666591187210,976.76,1652406024.211052,1657676424.211053,675-22-6313,pendiente
XSVAGB0IJ58,55,190,UIVZ79055303738302,ZQWM73616049244818,187.78,1650937224.211074,1658626824.211076,675-22-6313,rechazado
BQKHGBL3U2O,55,190,UIVZ79055303738302,VVKA20155733597482,102.66,1651801224.211097,1657330824.211098,675-22-6313,rechazado
UUXIGBMGW5R,55,190,UIVZ79055303738302,OMAD01534818411894,245.23,1650678024.211119,1657330824.211121,675-22-6313,pendiente
DVFOGBKK3QK,8,2,KYOC04374836160015,AJJB00902927192082,320.89,1652233224.211399,1658022024.2114,759-08-4028,pendiente
OWSAGB9YBHG,8,2,KYOC04374836160015,ZDCW19131761177828,825.96,1652578824.211438,1658108424.21144,759-08-4028,rechazado
JCUYGBYNQYO,8,2,KYOC04374836160015,DELX68218083165858,733.49,1651974024.211461,1657590024.211463,759-08-4028,aceptado
OUTQGB9XL1A,8,2,KYOC04374836160015,WSRM43912965458500,504.46,1650591624.211484,1658367624.211486,759-08-4028,pendiente
SNTHGBSW6U4,8,2,KYOC04374836160015,AEIX32217724420255,19.23,1652838024.211507,1658540424.211508,759-08-4028,aceptado
UYXOGBQWRKL,8,2,KYOC04374836160015,GUDQ72453193561468,789.82,1651282824.21153,1658454024.211531,759-08-4028,pendiente
HOKUGBBX4SP,8,2,KYOC04374836160015,LBUK36068424041560,150.54,1652319624.211552,1657071624.211554,759-08-4028,rechazado
ADOXGB7LMYV,8,2,KYOC04374836160015,YVIH24581273999164,955.36,1653270024.211575,1658194824.211576,759-08-4028,aceptado
REBPGB032XA,8,2,KYOC04374836160015,WVBI00925263983083,612.07,1652492424.211598,1658626824.211599,759-08-4028,aceptado
GSGCGB5IF79,8,2,KYOC04374836160015,ORVO99555106527369,241.5,1653010824.21162,1658799624.211622,759-08-4028,aceptado
MTIGGBF1B84,8,2,KYOC04374836160015,AVGT76622667341290,661.27,1651455624.211643,1657849224.211645,759-08-4028,pendiente
WXKXGBAMS02,8,2,KYOC04374836160015,JXFD24264865867714,445.39,1652492424.211666,1658194824.211667,759-08-4028,rechazado
WQWJGBECFWY,8,2,KYOC04374836160015,TKII46980788364600,287.02,1652492424.211688,1657590024.211689,759-08-4028,aceptado
UNMZGBOS5Z9,8,2,KYOC04374836160015,NRCZ40076858787879,201.06,1652751624.21171,1658108424.211712,759-08-4028,pendiente
AUNUGBS5JZ1,8,2,KYOC04374836160015,FZSY09534613129727,128.27,1650505224.211732,1657762824.211734,759-08-4028,aceptado
MWYSGBT49XT,8,2,KYOC04374836160015,KOWE74758305846891,707.09,1651887624.211775,1657849224.211777,759-08-4028,aceptado
NSUYGBKWC12,8,2,KYOC04374836160015,JEQE21530077198027,603.08,1650678024.211799,1658454024.211801,759-08-4028,rechazado
OJCVGBOVOYB,8,2,SESI14527505119144,SLFY07663164767626,728.11,1651023624.211822,1657330824.211823,759-08-4028,rechazado
TKEFGB5EGLC,8,2,SESI14527505119144,ZGYN34127554753272,34.79,1651369224.211861,1657158024.211862,759-08-4028,aceptado
HUFAGB711LS,8,2,SESI14527505119144,WKZH72189975215245,387.7,1650159624.211883,1658022024.211885,759-08-4028,aceptado
DMKYGBUTVAM,34,142,KQNP54847856564037,YJMN22732931488292,328.96,1650332424.212165,1658281224.212166,679-92-1911,aceptado
VUJUGBLK9K4,34,142,KQNP54847856564037,VPDP36210801192293,170.68,1650159624.212188,1658281224.21219,679-92-1911,rechazado
HCWQGBQGDYF,34,142,KQNP54847856564037,ULLD16725983939979,120.3,1651974024.21221,1658108424.212212,679-92-1911,pendiente
MOPVGBJJDHJ,34,142,JDEN13224452758116,ABGK63569151797436,415.37,1653010824.212232,1657417224.212234,679-92-1911,aceptado
UDMTGBGSFGN,34,142,JDEN13224452758116,WBLK21847092289571,755.24,1650764424.212271,1657590024.212273,679-92-1911,aceptado
XJMFGB72RVL,34,142,JDEN13224452758116,ZMIO40607124549277,363.88,1652406024.212294,1657676424.212296,679-92-1911,aceptado
UZMIGBLKFN7,34,142,JDEN13224452758116,ATKE60429216878265,29.38,1653442824.212317,1658713224.212318,679-92-1911,aceptado
YLVXGB3FV71,34,142,JDEN13224452758116,EWRL92113137306545,963.99,1651369224.212339,1657935624.212341,679-92-1911,pendiente
ZZJOGBDIWL5,34,142,JDEN13224452758116,SIOQ04763708965395,759.4,1650332424.212362,1657244424.212364,679-92-1911,pendiente
HHCEGB21GXO,34,142,JDEN13224452758116,JZFF43156244926012,845.91,1652406024.212385,1657590024.212387,679-92-1911,pendiente
DKEGGBP9U5V,34,142,JDEN13224452758116,MNCC93813578912299,150.8,1650505224.212408,1658194824.21241,679-92-1911,pendiente
SUPQGBRSBLR,34,142,JDEN13224452758116,TBOY43807100932738,205.0,1651282824.212431,1657935624.212432,679-92-1911,pendiente
GQRWGBHT2LH,34,142,JDEN13224452758116,JSXS12580954839409,936.18,1651887624.212453,1657762824.212455,679-92-1911,aceptado
BOQQGB98Y0U,34,142,JDEN13224452758116,NLCK45149250096063,569.65,1652492424.212476,1658626824.212478,679-92-1911,rechazado
TZKHGBV5J7B,34,142,JDEN13224452758116,NSOJ02978100126692,386.35,1650159624.212498,1658799624.2125,679-92-1911,aceptado
XPZEGBAF9BI,34,142,JDEN13224452758116,XHUR10066426056838,140.6,1652751624.212521,1658799624.212522,679-92-1911,rechazado
YDBKGBTMEDO,34,142,JDEN13224452758116,ZLTH06780357293303,176.52,1652319624.212543,1657158024.212545,679-92-1911,aceptado
XFZLGBY7X0N,34,142,JDEN13224452758116,DJYK54229640619726,998.52,1650505224.212565,1658626824.212567,679-92-1911,aceptado
MXBTGBOA2A0,34,142,JDEN13224452758116,ZHNY62879509833867,36.5,1653097224.212588,1658281224.21259,679-92-1911,pendiente
EYGCGBIURS2,34,142,JDEN13224452758116,HSXC81224051298928,660.67,1652665224.212611,1658194824.212612,679-92-1911,aceptado
YZLEGBC6N2R,31,116,OWIY54705535556306,USRJ69081506212084,728.94,1650418824.212892,1658713224.212894,427-33-0217,rechazado
YNYBGBPRMVG,31,116,OWIY54705535556306,GYUL39136540174632,192.38,1652319624.21292,1658281224.212922,427-33-0217,rechazado
WIPLGBSDQGW,31,116,OWIY54705535556306,XOAF02901503374495,558.34,1653529224.212943,1657590024.212945,427-33-0217,rechazado
JGKHGBPMMYH,31,116,OWIY54705535556306,XURK79803233121098,874.41,1652060424.212965,1658022024.212967,427-33-0217,pendiente
RIVFGBWZB8C,31,116,OWIY54705535556306,CSXZ96776098583294,827.81,1651542024.212988,1657071624.212989,427-33-0217,pendiente
RNVDGBQM6TF,31,116,OWIY54705535556306,RJVM98079936484159,343.76,1651110024.213011,1658281224.213012,427-33-0217,pendiente
DQNVGB9WLJH,31,116,OWIY54705535556306,WIWQ47719451650159,255.11,1653442824.213033,1657590024.213035,427-33-0217,rechazado
JXZXGBSL5SP,31,116,OWIY54705535556306,DRGS00047180734844,414.62,1653356424.213055,1658108424.213057,427-33-0217,aceptado
RSWHGBE4MW1,31,116,OWIY54705535556306,GXMT77450999415126,938.56,1653615624.213078,1658454024.21308,427-33-0217,aceptado
IKDZGBI3W6I,31,116,OWIY54705535556306,OILI93287747112804,558.25,1653615624.2131,1657330824.213102,427-33-0217,pendiente
CYOMGB4UT4J,31,116,OWIY54705535556306,LKLB65247088454951,292.62,1653442824.213125,1658626824.213127,427-33-0217,rechazado
JBNWGBE3LEH,31,116,OWIY54705535556306,LAZO92594470723531,560.1,1651801224.213148,1658540424.21315,427-33-0217,rechazado
MHJUGBG1S8B,31,116,OWIY54705535556306,UBMO69050074327168,274.45,1653615624.213171,1658540424.213173,427-33-0217,rechazado
SBMXGB07XOP,31,116,OWIY54705535556306,BIDE00468941579545,636.5,1652924424.213194,1657762824.213196,427-33-0217,aceptado
FUUDGBH8JSW,31,116,OWIY54705535556306,HBXQ37806508318308,241.99,1652751624.213216,1657417224.213218,427-33-0217,pendiente
PQHNGBJLVLB,31,116,OWIY54705535556306,KEZW39787627420545,398.46,1651369224.213238,1658799624.21324,427-33-0217,pendiente
KEDQGBUPG9G,31,116,OWIY54705535556306,UIHM00129592008292,838.18,1652233224.21326,1657071624.213262,427-33-0217,rechazado
XVPQGB5SVFN,31,116,OWIY54705535556306,CEER26605459039055,185.03,1650418824.213283,1657071624.213284,427-33-0217,pendiente
BUMIGB6VOVQ,31,116,OWIY54705535556306,KCSV55163594238292,83.36,1651714824.213305,1657762824.213306,427-33-0217,pendiente
XZXWGBE2ICG,31,116,OWIY54705535556306,QZDK99891925474726,139.21,1651714824.213327,1657071624.213328,427-33-0217,aceptado
KEIZGBLV2FX,96,266,SIYR52002650558996,RWDD98335862010536,343.23,1651110024.213727,1657417224.213731,429-47-1596,aceptado
ZLIVGBWJ0NM,96,266,SIYR52002650558996,SWUD63511243236633,687.94,1650505224.213759,1657503624.213761,429-47-1596,aceptado
FSOTGB1PAXI,96,266,SIYR52002650558996,AQIN38195548379390,982.85,1651023624.213784,1657935624.213786,429-47-1596,aceptado
AONSGBGDYSM,96,266,SIYR52002650558996,SVDI61015519413491,630.18,1651023624.213808,1658799624.21381,429-47-1596,pendiente
NAWTGBOZ551,96,266,SIYR52002650558996,DMPE53232090778836,336.31,1650159624.213831,1658626824.213833,429-47-1596,aceptado
MMBJGBLKUH6,96,266,SIYR52002650558996,HGTD52417737473729,721.43,1651974024.213854,1657158024.213856,429-47-1596,pendiente
TOFSGBYOIQB,96,266,SIYR52002650558996,GSML64622987139594,180.58,1652406024.213877,1657158024.213879,429-47-1596,rechazado
OZYKGB4W6OT,96,266,SIYR52002650558996,AJOG63495050609800,143.52,1653010824.2139,1657503624.213902,429-47-1596,aceptado
SAPWGBIRNXA,96,266,SIYR52002650558996,BNTJ75086164050051,513.47,1652492424.213923,1658626824.213925,429-47-1596,aceptado
JTNXGBOAOYI,96,266,SIYR52002650558996,TWXA81980399641121,630.74,1652838024.213947,1657590024.213948,429-47-1596,pendiente
IXUSGB9MIY4,96,266,SIYR52002650558996,ERHH79463088713267,136.3,1651455624.213969,1657590024.213971,429-47-1596,rechazado
LVPTGBIBZ1W,96,266,SIYR52002650558996,CHHY12676493808627,743.03,1653442824.213992,1658454024.213994,429-47-1596,rechazado
JZEJGB5QZP3,96,266,SIYR52002650558996,XSZE04697796583148,704.9,1653183624.214014,1658022024.214016,429-47-1596,aceptado
ZGWFGB53C0M,96,266,SIYR52002650558996,QHKX43864465531443,925.14,1650850824.214037,1657503624.214038,429-47-1596,pendiente
QJWNGBGTRKJ,96,266,SIYR52002650558996,DHNR25367348561977,688.65,1651023624.214059,1658626824.214061,429-47-1596,rechazado
YGJEGBKWNKD,96,266,SIYR52002650558996,VDFU18440663092066,625.82,1651714824.214082,1657503624.214083,429-47-1596,aceptado
DEISGBSSLDR,96,266,SIYR52002650558996,KNZX60479901029832,708.24,1650591624.214104,1658281224.214105,429-47-1596,aceptado
SLDNGBQV97Q,96,266,SIYR52002650558996,XKNE84731429332007,965.67,1653097224.214126,1658108424.214128,429-47-1596,aceptado
DRRZGBDBV14,96,266,IJXQ06792020865150,VOXQ34606772318818,663.74,1651714824.214148,1657330824.21415,429-47-1596,rechazado
ZKVSGBOH10F,96,266,IJXQ06792020865150,GUYW86543905419921,226.73,1651801224.214187,1658281224.214189,429-47-1596,aceptado
LINFGBC7LK1,96,275,GJJX10196373786872,EAQO16521995793760,669.76,1652233224.21447,1657244424.214472,471-03-7833,pendiente
XWWYGBMT8DD,96,275,GJJX10196373786872,FIJR46907174785791,475.35,1650764424.214493,1657503624.214495,471-03-7833,aceptado
HASYGBXQ3SR,96,275,GJJX10196373786872,UJGY67572751493928,702.95,1651455624.214551,1658799624.214553,471-03-7833,rechazado
