NroCheque,CodigoBanco,CodigoSucursal,NumeroCuentaOrigen,NumeroCuentaDestino,Valor,FechaOrigen,FechaPago,DNI,Estado
50,12,184,6961189601,6804956923,89.42,1629669882000,1657375585000,31-610-0480,0
51,47,126,4651653057,5897073821,37.3,1636349528000,1658093896000,83-065-4456,2
52,56,65,8328619873,500044562,56.94,1648567525000,1658656078000,05-972-0275,0
53,85,70,3320170864,8091303947,64.99,1636711982000,1658431285000,08-572-1050,2
54,36,83,9146049193,3916167995,95.08,1624981190000,1656486138000,15-669-0292,1
55,100,10,7967600053,5784628496,5.61,1651339978000,1657433730000,06-843-1723,0
56,29,29,9780690085,7196154231,92.26,1632773039000,1658666105000,99-427-8066,1
57,33,152,6532019348,6306710027,31.22,1640706661000,1658444019000,25-301-4463,2
58,35,286,7881279680,7352110437,17.82,1625817426000,1657784961000,36-408-3562,2
59,70,184,4670887750,6956476290,34.63,1632209799000,1656796173000,43-591-8282,0
60,70,72,4347312520,8220627239,21.37,1628771354000,1657455923000,80-794-0134,0
61,50,267,809228742,5579970749,58.37,1642726119000,1657617062000,59-633-8972,0
62,48,72,4447161427,8125350470,34.69,1623522880000,1658222590000,28-454-7282,0
63,7,189,1079176233,1068079754,62.37,1629097158000,1657765223000,61-326-8412,1
64,24,234,3357581213,3411862459,77.37,1631578905000,1657919759000,00-774-7565,1
65,58,149,1080784500,3427987264,26.82,1654769920000,1657663833000,01-381-4187,1
66,80,270,1402599455,2060627540,72.87,1626652464000,1656458828000,09-370-2860,1
67,21,2,7417917577,4463651883,38.79,1637359300000,1658747912000,92-093-6391,0
68,1,203,2494796903,7267465412,10.5,1644778464000,1659141356000,79-047-8310,1
69,36,234,4467876960,7677593135,93.94,1649773146000,1657146237000,20-755-3752,2
70,92,172,4495143271,3507137607,87.48,1641910731000,1657434766000,38-185-6520,0
71,7,183,3041734400,5743686750,82.78,1627683219000,1658083860000,28-762-3980,2
72,82,191,3231381320,1315863618,45.47,1634122601000,1657156743000,48-127-2334,0
73,55,125,7061341165,5639716533,17.79,1633624591000,1657915147000,29-355-2286,0
74,44,117,6845707014,8940611691,53.56,1644261801000,1658191613000,32-768-8033,1
75,24,135,2983314499,9874673125,74.66,1641369256000,1657062044000,36-425-5289,1
76,50,130,9130208106,9220093073,70.56,1644304019000,1658209387000,99-054-2303,2
77,87,18,6526185584,763210781,36.22,1647055248000,1657142607000,26-865-6861,1
78,54,89,6870711062,2564153666,9.4,1636772219000,1656814391000,55-077-0394,2
79,5,218,933063547,7551819959,15.61,1653107202000,1656736224000,54-947-3519,1
80,37,282,5721651369,178975338,92.67,1626940894000,1656766682000,25-281-6097,1
81,100,224,771082495,2919265393,88.1,1646218620000,1659027232000,69-855-7987,1
82,72,278,9825003944,9016203257,38.7,1650924918000,1658514139000,90-811-3359,0
83,98,291,3598704712,1922091642,87.37,1640344888000,1659220858000,25-654-7571,0
84,57,234,2627811126,3108367072,4.86,1627116086000,1656615975000,69-757-5517,0
85,94,21,2437319573,9529913044,35.01,1641609338000,1656429530000,93-942-4886,0
86,41,15,2150392216,4694145606,95.84,1625325313000,1658477863000,79-096-7884,1
87,19,30,939190818,2390639054,29.94,1638716702000,1657136571000,18-253-2703,2
88,40,128,2574216520,236917897,8.16,1651775991000,1658260400000,97-892-3851,1
89,78,135,1078749590,9116141326,31.94,1623196968000,1657035450000,63-450-1546,0
90,65,289,5372324945,4380233383,28.17,1653692336000,1656455256000,79-428-7106,1
91,47,88,1833925254,3378353147,16.58,1629960982000,1659169756000,97-560-1826,1
92,48,158,501190953,6959996309,62.1,1650843984000,1656568218000,52-643-0155,1
93,66,117,4621715984,8203535283,19.12,1647386073000,1656517999000,01-741-5436,1
94,14,6,5863598417,585379866,33.01,1650161261000,1658076302000,46-017-9585,2
95,58,119,9641707000,3462613073,51.27,1651528265000,1658583496000,70-688-8276,1
96,9,73,250677768,3371559505,92.52,1630174113000,1657632703000,60-591-9800,2
97,65,95,551334665,1237597897,73.92,1651418873000,1656675909000,69-882-4954,1
98,23,163,8222332147,7705705958,84.71,1638505664000,1659046292000,29-466-5324,1
99,8,31,4693463345,2236970552,36.34,1638816100000,1656821131000,96-691-1199,1
100,70,151,9147374020,6075114696,85.43,1630053467000,1657793336000,96-864-8093,1
101,94,103,9045500442,2114172236,67.03,1632264842000,1657055228000,79-744-1263,1
102,67,276,6514003222,911070990,66.31,1633391764000,1656713928000,99-717-0360,0
103,91,231,4729942205,1847228836,5.46,1652629161000,1657045292000,00-976-5618,1
104,48,225,7221736111,1454234660,20.08,1633641457000,1658974214000,40-876-7447,0
105,37,21,3380782114,1677705698,57.05,1638865047000,1656585454000,90-187-7545,1
106,58,291,8726815818,5178854470,60.39,1650773785000,1658517253000,12-947-2935,1
107,51,204,765330199,2559197421,47.24,1646116286000,1656994838000,68-396-1884,0
108,41,124,4554029182,8248748081,54.96,1641460679000,1656531739000,10-445-3685,2
109,40,4,7829202532,119703904,34.87,1639471201000,1657329026000,18-013-6259,2
110,30,243,7900307087,9014286880,29.07,1645371573000,1656866340000,34-694-2800,1
111,53,193,1328029379,3424584002,82.34,1631433070000,1657244884000,77-975-6679,2
112,66,277,7992241487,9851359017,54.98,1655510424000,1658842741000,13-721-7875,2
113,74,264,2167449380,3829921292,80.91,1655589273000,1657296718000,82-013-7102,0
114,5,4,5113688738,2833185715,82.46,1626149573000,1657836352000,57-205-0470,0
115,1,190,2465503316,3969918014,44.43,1635155093000,1658031388000,68-811-2093,1
116,47,152,6790766421,2914029837,32.94,1641655423000,1656629206000,49-418-1943,2
117,8,218,2532487143,5352004449,33.68,1628366451000,1657743163000,04-272-9091,2
118,62,270,6671347425,684417154,57.6,1646702551000,1658239177000,81-909-5397,2
119,18,18,932957994,4049673460,58.19,1624900765000,1657149327000,08-128-2005,2
120,22,161,2290201278,9504506151,44.15,1628731515000,1658850862000,51-971-2618,2
121,100,212,8093148035,7959245819,30.36,1630772933000,1658398592000,17-333-6165,1
122,42,59,6373414132,8171162673,53.33,1622997198000,1658792374000,67-857-0262,2
123,49,73,1241798729,5404637803,72.65,1653871774000,1657265780000,22-053-7480,0
124,12,219,6166443919,2026262675,25.14,1635338870000,1658296786000,25-923-0039,0
125,38,285,4012859706,6081743292,52.07,1639727870000,1657639881000,23-344-3261,1
126,93,197,5247385799,7739120162,19.44,1649005997000,1658074837000,03-319-0490,1
127,10,5,3410806962,920445330,83.32,1635927609000,1659139492000,16-462-9158,2
128,49,298,9002599080,4246583588,91.99,1630535732000,1657374286000,64-306-2409,1
129,44,60,5529766641,163290830,80.99,1650574189000,1657747062000,38-996-8180,0
130,31,280,8216549555,7137239803,7.58,1649095572000,1657532139000,74-161-2445,1
131,96,288,5457858170,4504606747,39.19,1624329279000,1657630682000,73-147-6961,0
132,4,287,7270219729,4387369701,99.07,1646879488000,1659078707000,10-842-1236,0
133,68,92,590818406,165515376,75.63,1648126961000,1658014848000,39-879-3623,2
134,6,132,8525697907,4945091943,15.85,1633572037000,1657415638000,74-089-4651,2
135,89,259,3560842034,5744263489,60.26,1654662990000,1656968374000,00-441-7695,1
136,80,17,7872033488,6378590672,75.67,1628510324000,1657549083000,93-654-7469,1
137,68,75,3117667865,5426172447,59.91,1634119197000,1659159658000,97-301-6233,1
138,78,116,9487291172,9100511501,75.54,1653129989000,1658280077000,26-201-5961,2
139,90,286,6262949534,781382424,86.45,1654593832000,1656988913000,86-148-1827,0
140,58,38,2169826467,2613722711,65.67,1651177222000,1656516260000,26-612-5249,1
141,71,1,4886912508,8294937916,27.49,1628398356000,1656535369000,60-204-6267,2
142,28,237,7077276929,5140828626,98.03,1632833081000,1657958729000,44-525-6992,1
143,75,274,8142843587,8734892400,86.16,1636412438000,1656737084000,52-392-9036,2
144,26,127,940060558,5268556207,1.87,1651617926000,1656837484000,71-701-4341,1
145,56,234,9948871715,3107375713,19.7,1651040233000,1659129193000,14-546-4676,2
146,91,25,2054685496,9021856999,58.37,1643753260000,1657885314000,15-988-4826,0
147,30,57,2200770812,195459830,70.96,1652807220000,1657120536000,64-554-1341,1
148,90,164,766961885,3569587266,3.54,1639915541000,1657731660000,26-641-9569,0
149,61,57,3747364594,1922851213,74.1,1651813548000,1656742425000,94-741-4388,2
150,87,85,5061672941,1178253244,55.34,1653661226000,1656389529000,73-203-0188,1
151,80,172,2687564001,4110812674,24.64,1649610596000,1658043680000,35-792-1432,2
152,62,94,9492119730,3559540860,75.5,1641362105000,1656489790000,99-555-8971,1
153,13,278,2164421035,2772795713,49.98,1623762075000,1657163202000,53-475-8208,0
154,10,299,4419482168,1103333658,84.65,1649796048000,1656471119000,34-678-0097,2
155,14,84,6014003614,7001244120,20.85,1630107625000,1658224858000,05-153-6820,0
156,32,86,4776220113,8280716416,88.83,1646057590000,1656965581000,06-958-1348,2
157,16,101,102714460,3354315598,7.01,1635173557000,1656425197000,09-149-5458,0
158,11,282,7426886786,1736360531,44.96,1643770823000,1657375670000,98-874-7739,0
159,89,45,4650476356,8262314425,47.76,1627683030000,1658713880000,17-459-2976,1
160,90,80,7315591478,5935086441,10.14,1637692708000,1658211018000,68-001-0191,0
161,4,262,6277963597,6514522920,35.1,1650616742000,1656475677000,38-227-1753,0
162,87,291,9150385771,2604646773,43.52,1624832954000,1657627660000,55-487-2432,0
163,56,253,3744530655,3308976927,47.81,1645128600000,1658383977000,29-604-3309,0
164,6,59,4259059084,3815897572,17.43,1643610177000,1658446883000,53-874-5698,0
165,71,66,769565662,566738961,80.08,1641687514000,1658027658000,14-162-9278,2
166,2,89,7680080852,3429072700,37.95,1654976324000,1658768757000,10-998-2950,1
167,12,247,3752010878,7253516060,50.31,1642679619000,1658269356000,66-618-6140,2
168,33,119,2240299452,7065327108,1.91,1623187840000,1659028981000,48-284-3753,0
169,73,278,2541915446,2764962622,72.9,1624562781000,1657087509000,01-496-7857,0
170,85,104,8540101556,3922544991,84.79,1628733820000,1658545201000,49-800-4739,0
171,62,221,5291937750,6733691329,78.74,1655880473000,1658683169000,32-398-8298,2
172,87,89,4478420998,6034743621,93.28,1643982947000,1657020261000,51-361-5272,0
173,70,266,8350822988,6738338538,48.44,1625216312000,1657952963000,46-669-7053,1
174,26,150,8400126173,3240251361,10.58,1656099574000,1656804758000,31-889-9691,0
175,19,104,5769404701,2561788229,54.61,1625289731000,1657788274000,73-011-3971,1
176,96,234,6274701230,5571878037,82.24,1629029072000,1657600013000,53-568-0870,1
177,47,277,9233537951,6469924204,13.94,1637487965000,1657886356000,36-114-1823,2
178,49,297,5423052548,3476973379,22.37,1633970680000,1658964908000,32-170-5983,1
179,62,12,2125914611,5042996583,23.94,1623228894000,1656668530000,83-653-0739,2
180,50,39,8293212993,255151632,3.68,1653691420000,1659129569000,50-679-7910,1
181,53,129,6038910786,2466564696,84.13,1626802979000,1658177318000,92-620-7809,2
182,31,41,866300481,1854604473,97.33,1651209478000,1657647995000,27-488-3057,0
183,17,3,8376458752,7503825782,44.62,1625541811000,1657491526000,67-669-3296,0
184,78,253,8104870181,5668544362,17.48,1624145748000,1657856968000,31-753-8652,0
185,71,28,6717222727,7287658623,15.61,1639147641000,1658484522000,34-930-8867,1
186,66,88,2865909344,312511280,64.22,1647687960000,1657715715000,94-408-9989,1
187,85,49,491922833,2048564577,65.02,1655337603000,1657262437000,86-188-5868,2
188,80,279,2771167999,7718303543,59.73,1654884803000,1657168321000,48-519-3995,0
189,32,204,4616773211,8924405845,29.47,1627776283000,1656798523000,10-668-3275,2
190,23,276,1944627766,9552185130,22.77,1627516515000,1658118314000,02-975-6108,0
191,22,45,9053949569,2420763610,73.93,1652976988000,1657804342000,29-662-1787,0
192,69,19,6969651827,3234691215,2.71,1654465673000,1658301391000,29-979-6856,2
193,68,252,210787023,5046390361,10.7,1630772040000,1656935518000,01-578-5834,0
194,51,7,9646086160,6244023250,94.96,1635134843000,1657680284000,43-113-2090,0
195,50,31,6354248818,3709515890,16.76,1640465681000,1658181132000,94-177-1452,2
196,44,169,5994408409,6932967898,45.93,1630887322000,1658899362000,10-785-6311,0
197,45,172,6744330543,6577948283,15.84,1653262409000,1658694832000,83-005-3236,1
198,84,128,8981154945,4484637987,47.48,1626932971000,1657589257000,85-006-1962,1
199,2,218,4926833840,9566738269,19.15,1630965719000,1656928377000,31-961-0640,1
200,23,287,8349413891,1887137807,5.11,1646667237000,1657502169000,61-494-5831,1
201,77,182,9192884717,2282932242,97.9,1647786415000,1657825131000,74-246-8793,1
202,47,155,9267300148,2063948410,14.0,1627512909000,1657342591000,58-719-0449,2
203,54,297,9837363363,1309449759,86.07,1653467475000,1657866197000,33-534-8885,0
204,77,63,207751315,774563990,65.4,1649498380000,1657847011000,58-610-3320,2
205,22,88,1110625820,1002238404,14.43,1654946666000,1658469915000,45-890-9763,0
206,7,246,9030510137,1725847280,45.37,1639774709000,1657924923000,51-895-8718,1
207,52,200,2998084257,9007264303,2.92,1632902639000,1656794217000,66-660-5641,2
208,96,120,2170291830,1113340460,37.62,1649276235000,1658343103000,35-860-4947,1
209,69,120,8412415213,5911199009,23.12,1627945924000,1657841318000,33-752-1973,2
210,61,18,2597988031,3819585052,90.8,1628967445000,1657510411000,44-940-4940,2
211,70,163,947869425,3326193106,63.58,1648666117000,1656488536000,55-203-1784,0
212,14,150,6491836738,7197258936,33.3,1624910324000,1658511901000,39-244-7108,2
213,85,38,2322742066,1650463553,53.21,1642492713000,1657451437000,40-105-7689,2
214,36,69,4287928865,9228763884,83.25,1645425877000,1658069518000,20-250-2037,1
215,12,230,3491879051,6870240957,50.26,1628298689000,1657667219000,19-965-5400,0
216,100,39,4645383841,5936560066,43.5,1647930038000,1656856659000,61-488-5068,1
217,46,96,6743505846,8121887534,5.96,1639387869000,1657846468000,31-022-2135,0
218,36,259,8539448033,2745832069,72.96,1626535266000,1657739125000,85-439-1530,0
219,95,298,5626648097,2708809296,10.3,1623543730000,1658523923000,20-834-9251,2
220,56,285,4384836104,3020146151,59.85,1638823600000,1656956543000,04-773-8705,1
221,38,18,9731888500,9566511787,83.37,1636324765000,1658677328000,30-745-1918,1
222,84,163,192414054,3423701463,61.4,1645905727000,1657854493000,56-234-5834,0
223,19,242,5431303511,3490997336,45.76,1650557177000,1658534615000,19-175-9514,2
224,14,108,4584790574,5060639576,39.12,1631938299000,1657157330000,76-802-3638,1
225,85,71,5833226961,6070856864,73.44,1631354162000,1656751484000,77-893-0765,1
226,76,202,5091372814,123869854,4.85,1648666068000,1658841699000,20-236-5000,2
227,85,74,229887694,906710006,12.62,1652260890000,1657013631000,02-760-4004,1
228,29,174,752619047,443976880,13.62,1652712447000,1657131352000,65-010-4848,2
229,13,236,6347720663,7417062997,26.38,1623104997000,1657998061000,05-249-9930,0
230,20,123,5133365772,1418723908,49.92,1634574014000,1658147937000,81-210-1569,0
231,36,282,468695001,9631406938,43.19,1654013186000,1657571870000,09-610-9071,2
232,17,223,8248321398,218494858,71.06,1631743546000,1656618854000,00-930-7339,2
233,81,102,8963132838,3133586998,55.81,1634090280000,1656641380000,14-963-5258,0
234,63,205,3672157317,9900683,87.88,1645245862000,1657351572000,28-427-1962,1
235,95,220,8087650034,6117821654,36.33,1624034646000,1657628807000,50-122-6084,1
236,4,212,4343519597,2929187638,5.06,1636435131000,1658539642000,84-598-2250,0
237,47,163,2735519104,6605823893,65.65,1623450725000,1656628134000,89-717-6463,0
238,86,17,8796030313,7576833017,36.32,1645110859000,1658652538000,59-812-3216,0
239,44,138,5525404885,2583406574,77.48,1624463985000,1658113962000,06-767-0253,2
240,86,22,5384143584,456128190,17.32,1655227543000,1658522279000,12-080-7809,0
241,22,257,2479745244,9938327222,83.04,1637447011000,1656531601000,04-829-0681,1
242,72,111,3535998867,4506101774,25.88,1648678250000,1656636678000,13-156-8269,0
243,50,262,2299217053,1951165144,11.71,1628137017000,1657170179000,82-558-0370,2
244,53,49,920021220,5652156422,38.54,1639266496000,1656702833000,24-625-0938,2
245,53,201,872553647,2190498562,49.45,1625932308000,1656755659000,93-239-3973,1
246,67,233,1879046326,5586227495,11.62,1643708121000,1659108144000,05-872-2485,0
247,100,2,7520985466,1507205910,98.37,1641511410000,1657043542000,96-642-5104,2
248,32,280,2253120243,5704036260,19.51,1628730900000,1657330679000,15-003-5029,1
249,79,92,2537615581,6790047948,42.22,1641651316000,1658411213000,21-311-6738,0
250,29,129,8482754769,1213846951,87.98,1642348400000,1657655258000,84-685-1245,1
251,60,247,664899935,1917425813,8.28,1649215702000,1658507056000,49-566-1051,0
252,30,136,2999043643,1635391962,22.75,1640394387000,1657741653000,36-321-8871,1
253,75,86,1560193832,5190549550,12.89,1635175586000,1657569083000,63-984-8487,2
254,52,236,8749952218,1229290044,34.32,1624157709000,1658446975000,29-777-6475,1
255,28,193,4725884685,2901060471,71.19,1629901229000,1656536523000,74-347-0907,0
256,71,171,852173253,2479151654,92.38,1635909447000,1658424180000,00-130-6007,2
257,57,248,649570995,5558856211,47.76,1638991895000,1659073788000,62-717-7254,0
258,29,42,1899660194,5384825634,59.22,1652093835000,1658874030000,68-691-7732,1
259,85,107,9011908295,7687208498,22.71,1651534435000,1656628803000,43-238-4856,2
260,94,128,7561325576,8367761863,15.25,1628259568000,1656893297000,42-265-5364,2
261,2,215,356014932,3221289707,83.8,1632982924000,1659047284000,95-133-4410,2
262,32,23,8334547382,4479320296,19.89,1648650413000,1658457784000,37-812-5332,0
263,85,129,3813824888,2801427624,20.44,1637452730000,1657259087000,72-583-4492,0
264,83,139,606552855,7683520683,73.0,1644493699000,1658881424000,36-151-1237,2
265,85,203,2339430828,8276016383,44.61,1632731747000,1657201461000,30-400-4255,2
266,59,121,6019092003,546677185,62.36,1630850165000,1658855309000,67-589-6515,0
267,27,27,1700526553,2331114781,97.59,1649936003000,1657617523000,35-566-5121,1
268,6,281,9343527616,258081287,78.05,1655227580000,1657753868000,66-346-7625,2
269,88,37,6830257476,5950344332,61.75,1642929744000,1658465631000,11-354-3916,1
270,94,265,2920919644,5536664581,50.54,1644518283000,1657949249000,06-641-2160,2
271,67,285,8190730991,8544060676,88.72,1652793054000,1656643565000,19-818-0710,1
272,78,41,2684711682,6693965954,95.97,1645414583000,1658824434000,68-954-0321,1
273,83,95,8825946333,440542944,88.34,1628116266000,1656503508000,27-035-1511,0
274,8,61,6923187753,5408329623,5.38,1641841426000,1656767222000,91-133-9642,0
275,80,17,3110156768,8593461409,84.22,1636602695000,1657695752000,82-480-2894,2
276,24,272,1134965532,5463353336,87.54,1637919641000,1657603877000,67-207-8764,2
277,83,281,157388867,4402923190,78.49,1653162101000,1657476191000,41-580-4941,2
278,45,5,8475218660,9807118387,4.33,1634130961000,1658589700000,60-111-4263,0
279,34,195,3417088941,9439299711,68.12,1648978682000,1657575865000,28-833-9217,1
280,16,295,3752269081,75858738,4.53,1633935384000,1656386372000,08-234-1666,2
281,63,28,5052531575,7198276695,44.88,1623408865000,1658545167000,87-461-0358,1
282,78,73,8524618582,4608463683,7.64,1652685919000,1657969780000,68-393-6924,1
283,49,55,8224951642,8618699187,62.89,1635836539000,1656511284000,17-420-3198,0
284,64,35,4243153841,9841954,4.43,1643545447000,1656439442000,88-815-8552,1
285,14,279,3874618463,4264250528,61.62,1653615203000,1656667873000,06-848-6504,1
286,75,139,7756411234,1236654285,75.53,1626731395000,1657709360000,87-004-4824,1
287,61,172,9234674421,4845384876,58.27,1630668880000,1656645706000,55-254-7979,0
288,68,199,8329285596,3131851430,97.24,1624070689000,1657192100000,02-452-2627,0
289,21,28,3145471643,9572517678,3.81,1654733719000,1657827357000,96-983-1794,0
290,53,281,8506916887,2178772633,37.59,1655483183000,1656519023000,80-228-2656,1
291,41,84,7168986864,45545995,2.41,1646125403000,1658130464000,79-710-8900,0
292,29,5,7296878614,1180495136,57.79,1651335897000,1656588401000,69-864-7275,0
293,66,116,6619476694,8582188870,9.38,1648703188000,1657251419000,79-121-2321,2
294,61,147,443639604,3252259486,5.49,1641757003000,1656525838000,66-685-1596,2
295,56,218,1459698878,9363806243,40.71,1630079422000,1657285114000,87-023-5969,1
296,75,4,2084983843,2040995730,43.8,1633098992000,1658147167000,19-672-7452,2
297,93,75,9141327608,3113085810,19.24,1650169804000,1657322967000,87-945-3534,1
298,6,94,4489415370,1245313932,82.23,1637805279000,1657823284000,62-158-8990,1
299,67,176,3384812492,1219067741,95.17,1644008340000,1659054450000,00-900-9748,1
300,42,202,1358303169,592772144,60.36,1651263254000,1658177805000,70-996-3041,1
301,58,191,5998541901,8364729,34.36,1634098566000,1657239367000,28-041-2880,0
302,58,2,4711858105,9379741537,93.62,1640444968000,1657572029000,17-413-1141,2
303,4,23,3659633062,7381354152,7.25,1625338376000,1656541029000,62-522-3625,0
304,65,234,9865399954,6029401424,69.78,1645951474000,1658640814000,33-690-0042,1
305,95,256,3503636528,7888371736,59.76,1625289990000,1657518663000,03-430-7110,2
306,95,273,7239262383,3233311761,56.13,1628058782000,1656888917000,59-335-5716,0
307,13,209,9567234051,6104681,20.67,1636648655000,1658073662000,22-059-1550,1
308,38,213,3235560149,1933665866,40.78,1623596414000,1657575137000,58-220-4173,1
309,88,22,8590313174,5449490771,68.58,1655805955000,1656709191000,29-931-4020,1
310,60,180,6100737795,6517130918,25.66,1625471328000,1659069709000,30-981-5395,0
311,89,264,484249878,275732797,22.58,1647209442000,1656869040000,54-744-0635,2
312,66,287,7036989688,7189142983,36.51,1654569480000,1658271394000,65-449-9087,0
313,55,300,1618370227,2833340354,73.94,1632299628000,1659102000000,78-804-6616,1
314,95,268,4869879565,743152069,89.68,1630554783000,1656857225000,74-948-0077,2
315,8,71,2542872589,6062686351,44.88,1632280574000,1657643682000,01-558-9202,1
316,43,100,9740403581,2575788323,49.46,1623939966000,1658173893000,90-606-7003,0
317,26,80,8540255995,5808887526,18.2,1628369180000,1657866867000,30-556-6062,0
318,60,200,3820931708,568337786,75.02,1623865867000,1658880983000,57-454-1081,1
319,42,151,3030681289,1887760253,95.16,1625093642000,1657345937000,55-489-1497,1
320,46,215,7790503766,243052332,87.18,1642812261000,1658825733000,36-385-8207,0
321,44,257,1124680373,9786351045,31.86,1648200065000,1657589475000,56-270-6806,1
322,66,2,9011858719,2301557936,19.2,1642068593000,1656987667000,27-530-7395,2
323,90,263,3737032874,1281188905,83.98,1646023121000,1658740350000,88-111-4324,2
324,8,298,406313040,2202408436,25.76,1634451122000,1657726992000,60-287-9955,0
325,55,57,4232664858,7409694904,73.96,1631233479000,1658142682000,93-295-5730,2
326,73,142,4814090625,3282547048,54.34,1637239362000,1657665320000,54-905-2824,2
327,20,227,1257438433,5164050293,72.65,1651460175000,1657085741000,20-635-1298,0
328,39,74,4950626817,7143096067,34.87,1627299504000,1657335382000,41-622-5846,0
329,26,204,7737928413,9650236457,50.37,1629927579000,1656773606000,23-057-4394,0
330,33,112,523187068,7267408877,85.51,1641648204000,1657981388000,79-216-4221,0
331,60,178,7199951396,5681394166,38.81,1647610706000,1657867525000,35-323-4715,2
332,100,268,3423307145,7740989983,68.06,1653912300000,1656595255000,75-239-6147,2
333,35,213,4179362147,3683538767,69.89,1640081019000,1658401609000,31-665-8566,1
334,6,59,5920169850,9079270334,58.8,1649944827000,1657954086000,52-478-3631,0
335,21,20,6026886141,6855088279,90.3,1637380674000,1659095900000,16-258-8687,2
336,69,157,1039175988,7924460829,62.82,1639484242000,1657596282000,41-686-8326,2
